"   ","NGAY","KQ"
"1","20190814","84"
"2","20190813","81"
"3","20190812","59"
"4","20190811","76"
"5","20190810","40"
"6","20190809","02"
"7","20190808","62"
"8","20190807","26"
"9","20190806","48"
"10","20190805","91"
"11","20190804","32"
"12","20190803","33"
"13","20190802","82"
"14","20190801","56"
"15","20190731","90"
"16","20190730","57"
"17","20190729","18"
"18","20190728","08"
"19","20190727","94"
"20","20190726","20"
"21","20190725","82"
"22","20190724","61"
"23","20190723","74"
"24","20190722","98"
"25","20190721","45"
"26","20190720","05"
"27","20190719","02"
"28","20190718","07"
"29","20190717","09"
"30","20190716","55"
"31","20190715","07"
"32","20190714","02"
"33","20190713","97"
"34","20190712","89"
"35","20190711","66"
"36","20190710","66"
"37","20190709","90"
"38","20190708","83"
"39","20190707","05"
"40","20190706","97"
"41","20190705","37"
"42","20190704","20"
"43","20190703","88"
"44","20190702","78"
"45","20190701","84"
"46","20190630","22"
"47","20190629","34"
"48","20190628","73"
"49","20190627","76"
"50","20190626","95"
"51","20190625","68"
"52","20190624","84"
"53","20190623","95"
"54","20190622","04"
"55","20190621","86"
"56","20190620","32"
"57","20190619","53"
"58","20190618","98"
"59","20190617","74"
"60","20190616","77"
"61","20190615","09"
"62","20190614","01"
"63","20190613","59"
"64","20190612","98"
"65","20190611","14"
"66","20190610","97"
"67","20190609","38"
"68","20190608","75"
"69","20190607","73"
"70","20190606","40"
"71","20190605","67"
"72","20190604","86"
"73","20190603","73"
"74","20190602","57"
"75","20190601","91"
"76","20190531","05"
"77","20190530","25"
"78","20190529","46"
"79","20190528","58"
"80","20190527","47"
"81","20190526","64"
"82","20190525","33"
"83","20190524","63"
"84","20190523","83"
"85","20190522","35"
"86","20190521","34"
"87","20190520","64"
"88","20190519","12"
"89","20190518","49"
"90","20190517","32"
"91","20190516","36"
"92","20190515","19"
"93","20190514","82"
"94","20190513","68"
"95","20190512","86"
"96","20190511","00"
"97","20190510","35"
"98","20190509","52"
"99","20190508","28"
"100","20190507","30"
"101","20190506","42"
"102","20190505","00"
"103","20190504","71"
"104","20190503","50"
"105","20190502","61"
"106","20190501","41"
"107","20190430","06"
"108","20190429","17"
"109","20190428","19"
"110","20190427","29"
"111","20190426","02"
"112","20190425","88"
"113","20190424","29"
"114","20190423","41"
"115","20190422","19"
"116","20190421","03"
"117","20190420","97"
"118","20190419","88"
"119","20190418","99"
"120","20190417","19"
"121","20190416","22"
"122","20190415","43"
"123","20190414","67"
"124","20190413","81"
"125","20190412","08"
"126","20190411","36"
"127","20190410","84"
"128","20190409","65"
"129","20190408","10"
"130","20190407","64"
"131","20190406","88"
"132","20190405","58"
"133","20190404","84"
"134","20190403","34"
"135","20190402","93"
"136","20190401","20"
"137","20190331","48"
"138","20190330","61"
"139","20190329","42"
"140","20190328","74"
"141","20190327","59"
"142","20190326","99"
"143","20190325","19"
"144","20190324","72"
"145","20190323","05"
"146","20190322","77"
"147","20190321","85"
"148","20190320","24"
"149","20190319","73"
"150","20190318","34"
"151","20190317","51"
"152","20190316","82"
"153","20190315","71"
"154","20190314","08"
"155","20190313","62"
"156","20190312","99"
"157","20190311","91"
"158","20190310","59"
"159","20190309","00"
"160","20190308","02"
"161","20190307","72"
"162","20190306","07"
"163","20190305","86"
"164","20190304","55"
"165","20190303","10"
"166","20190302","05"
"167","20190301","10"
"168","20190228","14"
"169","20190227","16"
"170","20190226","48"
"171","20190225","68"
"172","20190224","32"
"173","20190223","11"
"174","20190222","63"
"175","20190221","68"
"176","20190220","16"
"177","20190219","05"
"178","20190218","97"
"179","20190217","86"
"180","20190216","80"
"181","20190215","32"
"182","20190214","29"
"183","20190213","91"
"184","20190212","33"
"185","20190211","59"
"186","20190210","08"
"187","20190209","26"
"188","20190208","99"
"189","20190203","90"
"190","20190202","43"
"191","20190201","88"
"192","20190131","22"
"193","20190130","44"
"194","20190129","79"
"195","20190128","89"
"196","20190127","49"
"197","20190126","79"
"198","20190125","65"
"199","20190124","36"
"200","20190123","10"
"201","20190122","29"
"202","20190121","62"
"203","20190120","08"
"204","20190119","92"
"205","20190118","89"
"206","20190117","16"
"207","20190116","86"
"208","20190115","65"
"209","20190114","45"
"210","20190113","31"
"211","20190112","24"
"212","20190111","41"
"213","20190110","59"
"214","20190109","79"
"215","20190108","80"
"216","20190107","89"
"217","20190106","91"
"218","20190105","22"
"219","20190104","77"
"220","20190103","24"
"221","20190102","08"
"222","20190101","89"
"223","20181231","76"
"224","20181230","53"
"225","20181229","75"
"226","20181228","41"
"227","20181227","29"
"228","20181226","30"
"229","20181225","56"
"230","20181224","22"
"231","20181223","93"
"232","20181222","91"
"233","20181221","67"
"234","20181220","02"
"235","20181219","75"
"236","20181218","15"
"237","20181217","65"
"238","20181216","10"
"239","20181215","50"
"240","20181214","88"
"241","20181213","17"
"242","20181212","40"
"243","20181211","91"
"244","20181210","41"
"245","20181209","08"
"246","20181208","93"
"247","20181207","67"
"248","20181206","54"
"249","20181205","88"
"250","20181204","59"
"251","20181203","67"
"252","20181202","56"
"253","20181201","29"
"254","20181130","21"
"255","20181129","29"
"256","20181128","65"
"257","20181127","16"
"258","20181126","33"
"259","20181125","35"
"260","20181124","56"
"261","20181123","14"
"262","20181122","65"
"263","20181121","21"
"264","20181120","22"
"265","20181119","01"
"266","20181118","44"
"267","20181117","02"
"268","20181116","48"
"269","20181115","88"
"270","20181114","41"
"271","20181113","59"
"272","20181112","70"
"273","20181111","71"
"274","20181110","84"
"275","20181109","69"
"276","20181108","79"
"277","20181107","11"
"278","20181106","55"
"279","20181105","24"
"280","20181104","44"
"281","20181103","32"
"282","20181102","48"
"283","20181101","89"
"284","20181031","35"
"285","20181030","18"
"286","20181029","74"
"287","20181028","86"
"288","20181027","94"
"289","20181026","33"
"290","20181025","38"
"291","20181024","03"
"292","20181023","62"
"293","20181022","58"
"294","20181021","32"
"295","20181020","28"
"296","20181019","14"
"297","20181018","50"
"298","20181017","16"
"299","20181016","24"
"300","20181015","19"
"301","20181014","28"
"302","20181013","45"
"303","20181012","18"
"304","20181011","05"
"305","20181010","43"
"306","20181009","35"
"307","20181008","32"
"308","20181007","39"
"309","20181006","15"
"310","20181005","26"
"311","20181004","34"
"312","20181003","37"
"313","20181002","44"
"314","20181001","65"
"315","20180930","55"
"316","20180929","30"
"317","20180928","56"
"318","20180927","15"
"319","20180926","22"
"320","20180925","54"
"321","20180924","69"
"322","20180923","62"
"323","20180922","78"
"324","20180921","21"
"325","20180920","96"
"326","20180919","77"
"327","20180918","20"
"328","20180917","43"
"329","20180916","63"
"330","20180915","77"
"331","20180914","88"
"332","20180913","62"
"333","20180912","56"
"334","20180911","40"
"335","20180910","45"
"336","20180909","53"
"337","20180908","15"
"338","20180907","97"
"339","20180906","64"
"340","20180905","88"
"341","20180904","08"
"342","20180903","49"
"343","20180902","40"
"344","20180901","19"
"345","20180831","67"
"346","20180830","60"
"347","20180829","87"
"348","20180828","27"
"349","20180827","87"
"350","20180826","81"
"351","20180825","60"
"352","20180824","17"
"353","20180823","35"
"354","20180822","73"
"355","20180821","56"
"356","20180820","57"
"357","20180819","19"
"358","20180818","77"
"359","20180817","27"
"360","20180816","87"
"361","20180815","62"
"362","20180814","86"
"363","20180813","49"
"364","20180812","77"
"365","20180811","60"
"366","20180810","81"
"367","20180809","17"
"368","20180808","29"
"369","20180807","23"
"370","20180806","14"
"371","20180805","38"
"372","20180804","24"
"373","20180803","86"
"374","20180802","38"
"375","20180801","28"
"376","20180731","36"
"377","20180730","72"
"378","20180729","92"
"379","20180728","33"
"380","20180727","31"
"381","20180726","56"
"382","20180725","41"
"383","20180724","70"
"384","20180723","86"
"385","20180722","92"
"386","20180721","68"
"387","20180720","49"
"388","20180719","17"
"389","20180718","69"
"390","20180717","23"
"391","20180716","71"
"392","20180715","40"
"393","20180714","23"
"394","20180713","01"
"395","20180712","65"
"396","20180711","54"
"397","20180710","57"
"398","20180709","45"
